doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Curtin Leadership Academy,Enrollment,enrollment,,proposed,274.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Doerfler School,School Budget,school_summary,7879522.0,adopted,64.6,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Doerfler School,School Budget,school_summary,7370053.0,proposed,60.88,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Doerfler School,Enrollment,enrollment,,adopted,530.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Doerfler School,Enrollment,enrollment,,proposed,505.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Eighty-First Street School,School Budget,school_summary,5480912.0,adopted,46.55,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Eighty-First Street School,School Budget,school_summary,5669446.0,proposed,48.32,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Eighty-First Street School,Enrollment,enrollment,,adopted,368.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Eighty-First Street School,Enrollment,enrollment,,proposed,368.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Elm Creative Arts School,School Budget,school_summary,4229001.0,adopted,35.6,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Elm Creative Arts School,School Budget,school_summary,4220724.0,proposed,35.15,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Elm Creative Arts School,Enrollment,enrollment,,adopted,318.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Elm Creative Arts School,Enrollment,enrollment,,proposed,307.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Emerson School,School Budget,school_summary,4116791.0,adopted,34.65,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Emerson School,School Budget,school_summary,4516274.0,proposed,39.25,,,,,,,
